Database;URL;DOI;Author(s);Year;Venue;Type;Title;Abstract;Keywords;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7462612;10.1109/ISDEA.2015.75;X. Jun ─ Z. Yijie;2015;2015 Sixth International Conference on Intelligent Systems Design and Engineering Applications (ISDEA);IEEE Conferences;Data Statistic and Analysis System of College Track and Field Games Based on Web;In order to solve the problems in managing and organizing track and field games, this paper develops a set of information management system for college track and field games. At first, this paper applies genetic algorithm to perform pre-competition grouping and track management for players to offer decision making service preparation of pre-track and field games. Performance management in competition and curve surrounding method are used to perform grouping, track management for semi-final competitors and provide decision making service for management during competition. Then, rough set method is used to perform statistics and analysis on various data after competition to obtain corresponding and understandable rules to offer competition managers decision service, so that management in track and field games is more reasonable, scientific and efficient to provide more reliable decision basis for sports education management.;sport game ─oblique line passing method ─data mining ─grouping ─GA;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5293500;10.1109/GEOINFORMATICS.2009.5293500;G. Yu ─ Liping Di ─ Peichuan Li ─ Peisheng Zhao ─ J. F. Moses;2009;2009 17th International Conference on Geoinformatics;IEEE Conferences;Severe weather event detection and tracking Sensor Web;Detecting and tracking of severe weather events requires the fast and no-delay processing of data from observing sensors to end users. This study adopted the Sensor Web technology and framework in expediting the analytical process from sensor observation to climatic information. A set of algorithms for detecting and tracking severe weather events was adopted and supported with standard geospatial Web processing services. The study exemplified the procedure for designing a geospatial workflow, deploying a workflow, and executing a workflow. The workflow was described in Business Execution Language (BPEL). The design and construction of a geospatial workflow involve a domain scientist, a developer, a workflow visual design tool, and a workflow engine. The standard interfaces are built on open scripting language, Web services, Web Processing Service (WPS), Web Coverage Service (WCS), Web Feature Service (WFS), and Web Map Service (WMS). The workflow construction and design built a virtual product/service that synergies raw data, algorithms, Web Services to reach the post conditions: persistent data served in standard geospatial Web services, algorithms wrapped as standard WPS processes, composite service (or a workflow) executable automatically in standard workflow engines, and geospatial features described in Geography Markup Language (GML) that can be shared across and supported widely by software platform.;Sensor Web ─Web Processing Service ─workflow ─BPEL ─severe weather event;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7145116;10.1109/CarpathianCC.2015.7145116;M. Radecký ─ J. Vykopal ─ P. Smutný;2015;Proceedings of the 2015 16th International Carpathian Control Conference (ICCC);IEEE Conferences;Analysis of syntactic elements and structure of web pages using eye-tracking technology;As web pages are becoming increasingly complex, with images and different page layouts, understanding how users examine the page is important. We used eye-tracking analysis of user behavior and performance in the use of web. Using GP3 Eye Tracker we created tracking system, which take into account syntactic elements and content structure of the tested web pages.;eye-tracking ─user interface ─syntactic analysis;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=884617;10.1109/PADSW.2000.884617;Yuh-Chi Lin ─ P. Hadingham;2000;Proceedings Seventh International Conference on Parallel and Distributed Systems: Workshops;IEEE Conferences;Tracking frequent traversal areas in a Web site via log analysis;In this paper, we explore the problem of analyzing frequently traversed spots in a Web site. We first construct a support knowledge base from Web logs and formulate the problem of tracking frequent traversal areas as a problem of finding strongly connected components in a digraph. We successfully incorporated the tracking features into our test Web site. Our experiments show that our approach can be useful in the innovative applications such as Web promotion, banner ads, and Web content design in the electronic commerce.;;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337148;10.23919/OCEANS52994.2023.10337148;J. Webster ─ E. Nyadjro ─ G. Kaltenberger ─ T. Toft ─ L. Collazo ─ Y. Lau ─ Z. Wang ─ T. Boyer ─ P. Mickle ─ K. Larsen;2023;OCEANS 2023 - MTS/IEEE U.S. Gulf Coast;IEEE Conferences;Tracking Marine Microplastic Monitoring Through the NOAA NCEI Global Marine Microplastic Concentrations ESRI ArcGIS Online Experience Builder Web Application;Microplastic (less than 5 mm) pollution is a growing problem affecting coastal communities, marine ecosystems, aquatic life, and human health. Aquatic biota such as plankton, fishes, and shrimp ingest microplastics that interfere with organ functions, reduce growth, and eventually kill these organisms. Microplastics can also bioaccumulate in humans through the consumption of seafood, possibly leading to oxidative stress and cell damage. The increasing concern about microplastic pollution has led to a rapid growth in research in this area in recent years, generating a large volume of data. Despite the growing awareness, there is still a lack of large-scale, long-term, comprehensive data to enable a complete understanding of the sources, distribution, and impacts of this man-made environmental hazard. The National Oceanic and Atmospheric Administration (NOAA) National Centers for Environmental Information (NCEI) database collates and archives microplastic data from large ocean surveys, citizen-science led initiatives, and published literature sources across the globe. To offer open access to this marine microplastics data globally, NOAA NCEI has developed an easily discoverable ESRI ArcGIS Online Experience Builder web map and data portal. The objective of this web application is to provide a user friendly, consistent, and reliable gateway to serve the datasets in the repository where data on microplastic concentrations are aggregated and archived. This work contributes to NCEI's efforts towards data integration, harmonization, and interoperability among national and international collaborators for monitoring global marine microplastics. In concert with national and international efforts, NCEI aims to adapt to user needs as contributors to this rapidly evolving science come to a consensus on reporting metrics and sampling methods. Through this data visualization and access portal application, researchers and interested groups are able to access and analyze data that will enable new insights in holistic understanding of the global microplastic problem.;microplastics ─GIS map portal ─citizen science ─published data ─global ocean ─data archive;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5447428;10.1109/CISIS.2010.123;R. Palaniappan ─ P. Wahid ─ L. Barolli;2010;2010 International Conference on Complex, Intelligent and Software Intensive Systems;IEEE Conferences;A Novel Sensor Web System for Tracking and Surveillance;Current sensor network technology for detection and tracking are focused solely in terms of static networks and suffers from device specific inadequacies such as lack of coverage, power and fault tolerance. Failing nodes result in coverage loss or breakage in connectivity and hence there is a pressing need for a robust system. In this work a unique sensor network is fielded that uses multiple frequencies and transmit powers to improve coverage. A novel approach to track a sensor node is also presented. Simulation data is compared to experimental results for validation.;multiple frequencies ─tracking system;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10291901;10.1109/ICISS59129.2023.10291901;A. E. Pirus ─ J. Yulin ─ M. F. Danuaji ─ D. W. Sukmaningsih;2023;2023 10th International Conference on ICT for Smart Society (ICISS);IEEE Conferences;Eye Tracking in Usability Evaluation of User Experience on Enrichment Apps Web for Internship Program at XYZ University;Internship activities are one of the activities of students to prepare themselves to enter the world of work. To support these activities, The university develops web applications where students can report their activities and lectures can supervise them. The XYZ University enrichment apps web is a website for making reports related to activities during the period consisting of daily, monthly, and final reports along with the tasks given by XYZ University while working in the company carried out by internship students. The enrichment apps web has several menu tabs with functions and objectives for internship students and companies. However, the enrichment web still needs to improve regarding user experience for internship students. The author gets information about the problem through social media that reviews the enrichment apps web. This study aims to determine the level of User Experience of Student Interns in accessing the XYZ University enrichment apps web and analyze features for the needs of XYZ University student interns. The research method used is the usability evaluation method, consisting of usability testing, SUS questionnaire, quantitative questionnaire, Eye-Tracking, and Think-Aloud Interview. The sample of this research is 10 internship students who studied at XYZ University with Effectiveness (91%), Efficiency (89.6%), and Satisfaction (53%), then the final result is 78%.;Enrichment Website Services ─User Experience ─Usability Evaluation;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6419504;10.1109/TELFOR.2012.6419504;M. Pilja ─ V. Tomasevic;2012;2012 20th Telecommunications Forum (TELFOR);IEEE Conferences;Evidencija — Web application for tracking of teaching activities;A web application for tracking of teaching activities intended for university teachers is described in this paper. It supports different organization of the courses by study programs, levels, school years, teaching locations, etc. The application keeps the record of student results itemized by courses and school years including their activities, as well as the preexam and exam achievements. The application can exchange data with the environment allowing the access to the tools for automatic assessment.;evidencija ─nastava ─uspeh studenata ─WAMP ─web aplikacija;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7911972;10.1109/ICATCCT.2016.7911972;N. Khera ─ S. Singh ─ A. Sharma ─ S. Kumar;2016;2016 2nd International Conference on Applied and Theoretical Computing and Communication Technology (iCATccT);IEEE Conferences;Development of photovoltaic module tracking and web based data acquisition system;In this paper, the development of photovoltaic module tracking and web based data acquisition system for real-time monitoring of electrical parameter of photovoltaic module and the direct solar insolation has been proposed. The main objective of this paper is to evaluate the performance of proposed photovoltaic module of photovoltaic system by remotely collecting the onsite data during its standstill and tracking mode operation and also to obtain the solar insolation over a period of time. The collected data is continuously stored on the hard disk of user computer as MS Excel file for further analysis. The proposed system can be used to analyze the performance of different photovoltaic modules before selecting them as in an array of photovoltaic system.;data acquisition system ─microcontroller ─Photovoltaic module ─sensors;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10125610;10.1109/ICOEI56765.2023.10125610;M. d. Sohaib ─ V. P. M. B. Aarthi ─ M. N. Laxmi ─ G. G. Shivaji ─ T. A. Kumar ─ M. Ramesh;2023;2023 7th International Conference on Trends in Electronics and Informatics (ICOEI);IEEE Conferences;IoT-based Web Application for Passenger Travel Tracking System;In this work, RFID (Radio Frequency Identification Device) labels are used to create electronic transportation tickets for the public transportation system. Transport systems with cutting-edge innovations like RFID, IoT, and GPS will eventually gain popularity due to their advantages of greater comfort and higher ethical standards as compared to traditional transport systems or paper ticketing systems. In the proposed approach, the passenger is automatically identified by using their RFID card, and the fare according to the distance travelled by the passenger is automatically subtracted from the RFID card. GPS and RFID tags are used to increase the precision of fare calculation and passenger identification. The RFID system can replace conventional paper-based tickets since they are better because they are reusable and offer improved accuracy. This eliminates the outdated paper-based bus booking system and guards against money laundering and corruption. RFID tags are used as reusable tickets that calculate the fee based on the user's GPS-measured distance travelled. By using this system, human errors and effort are reduced.;Radio Frequency Identification Card Reader ─Passenger transport system ─RFID Tags ─Global Positioning System Receiver ─Wireless Fidelity (Wi-Fi) Module;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7196535;10.1109/SERVICES.2015.47;H. A. Müller ─ E. Stroulia;2015;2015 IEEE World Congress on Services;IEEE Conferences;SERVICES 2015 Visionary Track on Web Tasking;The goal of this Visionary Track on Web Tasking at IEEE World Congress on Services is to provide a forum for researchers and practitioners to present research results and positions on the challenges involved in developing methods, conceptual frameworks, architectures and tools to enable web tasking. The critical question at the core of this activity is how to put resources in the hands of web users, so that they can conduct web tasking with ease. Resources may come from (i) systems of record from enterprises, (ii) systems of instrumentation as in cyber-physical systems and internet of things, and (iii) systems of people including individuals and relationships from across various social networking platforms. Web-tasking research requires interdisciplinary research expertise and collaboration.;web services ─web tasking ─task as a service ─web service and API discovery ─automated field filling;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10353498;10.1109/GCAT59970.2023.10353498;P. Gaidhani ─ G. S. Varsha ─ N. Agrawal ─ A. Pote ─ J. Pande;2023;2023 4th IEEE Global Conference for Advancement in Technology (GCAT);IEEE Conferences;Development of a Web Application to Track the Food Quality and Service in the Hostel Mess.;There is a need for students with food allergies to be aware of the ingredients and allergens used in campus canteen meals, and also for international students to get comfortable with the local cuisine. Additionally, students living in the hostels need to have access to the mess menu to make decisions about their meals, particularly in case of food allergies. However, there exists a communication gap between the mess committee and the students. To address these issues, this Django-based web application has been developed to enable students to review the menu and provide their valuable suggestions for improvement. The feedback mechanism allows the administrator to monitor and respond to user feedback for continuous improvement of the application. This app enables college students to rate and review the quality of food, service, and hygiene in their mess. Moreover, students can suggest improvements and report any problems they face. The work aims to help students make informed food choices and also provide a platform for mess administrators to understand and address the concerns of their consumers. This application also assists parents of hostel-residing students to keep track of the menu, provide recommendations, and offer feedback on the nutrition and quality of meals provided in the mess.;Mess menu ─Feedback system ─Food allergies ─Hostel residents ─Django;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7194363;10.1109/WETICE.2015.45;O. Nabuco ─ R. Bonacin ─ M. Fugini;2015;2015 IEEE 24th International Conference on Enabling Technologies: Infrastructure for Collaborative Enterprises;IEEE Conferences;Web2Touch 2015 Track Report: Modeling the Collaborative Web Knowledge;This is the Web2Touch 2015 track report.;Collaborative Web ─Semantic Web ─Knowledge Representation;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1264522;10.1109/ICMLC.2003.1264522;Yue Liu ─ Gang Zhang;2003;Proceedings of the 2003 International Conference on Machine Learning and Cybernetics (IEEE Cat. No.03EX693);IEEE Conferences;An investigation of the TREC Web track datasets based on the hyperlink analysis algorithm;One of the main aims of TREC (text retrieval conference) Web track has been to answer the question if link-based methods are better than keyword-based methods for Web search, but most of the participations including us find that the hyperlink structure cannot improve search effectiveness as some commercial search engine claimed. This paper tries to find the reason by investigating the WT10G, the .GOV dataset, the answer-sets and the TREC evaluation measure. We propose our assumption about the link-based methods and prove its correction in these two datasets. How to get a better result by the link-based methods was found in TREC datasets by some experiments. Some suggestions for the TREC datasets collection and evaluation measure are also given this paper.;;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6409773;10.1109/UPINLBS.2012.6409773;H. Makino ─ M. Hatanaka ─ S. Abe ─ K. Komatsu ─ H. Imai ─ K. Nishimori ─ M. Takahashi ─ H. Kinoshita;2012;2012 Ubiquitous Positioning, Indoor Navigation, and Location Based Service (UPINLBS);IEEE Conferences;Web-GIS-based emergency rescue to track triage information — System configuration and experimental results;In emergency situations, first responders must possess the means to communicate vital information, such as the number of patients requiring immediate medical attention, -and their precise locations, as quickly and efficiently as possible, to fire and rescue-, and police departments, as well as city officials. For these situations, we developed a mobile terminal incorporating a GPS, as well as an RFID reader. The objectives of our current research are to develop ─ 1) - a mobile terminal for use in disaster areas ─ 2) - a robust “Web-GIS” platform to disseminate patient information to medical teams, during a disaster.;Triage ─Traceability ─Web-GIS ─RFID ─Mobile terminal;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9845528;10.23919/IST-Africa56635.2022.9845528;J. H. Abdikadir ─ A. T. Gemeda ─ S. Mwongela;2022;2022 IST-Africa Conference (IST-Africa);IEEE Conferences;An IoT Based Web Application for Tracking and Managing Covid-19 Related Data. A Case of Kenyan Learning Institutions;Since the dawn of COVID-19, everything has changed drastically. From education to business, all sectors of peoples’ lives have been affected. An arising issue from the current situation is the tracking and managing of COVID-19 related data. With the resumption of educational institutions in Kenya, adherence to protocols provided by the ministry of education is paramount. One of the guidelines provided for the resumption of schools is thermal monitoring/screening of people, which has been implemented differently across the country. Some universities have opted for checking students’ temperatures and not keeping a record of this information. Others require students to go through a check-up to give their details, and their temperature is recorded. The flaw with this system is inadequate record-keeping as the records are manual, which leads to a hectic analysis. The research aimed to find a solution to better manage and analyse COVID-19 data. The solution was implemented using IoT technology and AI, where a camera and a temperature sensor was used to record the temperature and identify the students. The research methods applied were experimental and a case study of Kenyan universities. A progressive web application is used to interact with the system. The solution was able to improve on data management and analysis, among other benefits.;COVID-19 ─thermal screening ─IoT ─face recognition ─analysis;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10616547;10.1109/ICKECS61492.2024.10616547;E. H. Sharma ─ S. Maheshwari ─ S. Singla ─ SagarKumar ─ S. Chopra ─ G. Khandelwal;2024;2024 International Conference on Knowledge Engineering and Communication Systems (ICKECS);IEEE Conferences;HeyMitra- A Daily Life Assistant web application with Todo List and Time Tracking ability;In the rapidly evolving landscape of education, students encounter a multitude of challenges that impede their academic progress and personal growth. Among these hurdles, the effective management of time and study planning stands out as a prominent concern. The modern academic environment is characterized by intricate demands and abundant distractions, often leaving students struggling to maintain consistency and focus in their studies. This research paper explores the development and implementation of HeyMitra, a comprehensive daily life assistant designed to alleviate student’s time management and study planning concerns. HeyMitra employs dynamic algorithm to generate personalized to-do lists, track study sessions, and provide detailed performance reports, empowering students to optimize their productivity and academic outcomes.;Artificial Intelligence ─Time Management ─Study Planning ─HeyMitra ─Academic Productivity ─Learning Experience ─Administrative Efficiency;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4118619;10.1145/1065385.1065520;J. Wilkerson ─ T. Wang ─ H. Chen ─ R. P. Schumaker;2005;Proceedings of the 5th ACM/IEEE-CS Joint Conference on Digital Libraries (JCDL '05);IEEE Conferences;Terror tracker system: a web portal for terrorism research;Terrorism research has fast become one of the more important fields in research of late. Researchers need to be able to quickly make connections from vast storehouses of publicly available resources. The problem of information overload rapidly becomes one of the central challenges to existing information retrieval systems. Commercial search engines are far too generally scoped to be of much assistance to terrorism researchers. We believe that a narrowly focused vertical search engine coupled with several novel information-organization features will dramatically change the current terrorism research landscape. We introduce the Terror Tracker System (TTS) as our answer to addressing many of the current overload problems;news retrieval ─security ─terrorism;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10479903;10.1109/REEPE60449.2024.10479903;K. Kohel ─ M. Osama ─ N. Mohamed ─ M. Mokhtar ─ O. Tamer ─ M. W. Fakhr;2024;2024 6th International Youth Conference on Radio Electronics, Electrical and Power Engineering (REEPE);IEEE Conferences;Gaze Tracking with Multi-Modal Neural Network in Desktop Environments Using Generic Web Camera;Gaze tracking is the process of estimating where a person is looking on the screen using only information from eye movement without additional input from the user, it contributes greatly in understanding and improving human-computer interactions. This paper addresses an improved gaze tracking technique building upon established approaches that are using generic web cameras instead of requiring high-cost specific hardware like infrared cameras and sensors. In the proposed method, a pipeline was constructed of various high performing AI models such as Google's MediaPipe face localization and face landmarks solutions to acquire both Iris metrics and localized eye image data. The data obtained is then passed to the proposed model that uses both image data and location metrics to predict the user's gaze position on the screen using a multi-modal architecture. Experiments done on realistic desktop environments show 8% mean distance error of the screen dimensions with a standard deviation of +/-6% from the actual gaze location. The proposed method is not affected by most logistical limitations affecting other similar approaches.;Gaze tracking ─human computer interaction ─Human activity recognition ─Image analysis ─Neural networks;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10645116;10.1109/IcETRAN62308.2024.10645116;P. Barca ─ A. Jevrcmović;2024;2024 11th International Conference on Electrical, Electronic and Computing Engineering (IcETRAN);IEEE Conferences;An Architecture Model for Tracking User Interaction in a Web Environment;This paper proposes an architecture model for tracking user interactions in a Web environment. The model utilizes Node.js as the server-side technology, integrates Face-API.js for facial recognition, and streams facial expressions and landmarks directly through to a database and Kafka queue for further use. This architecture aims to enhance user experience and provide valuable insights into user behavior for Web applications.;architecture model ─user interaction ─Web environment ─Node.js ─Face-APLjs ─facial recognition ─database ─TimescaleDB ─Kafka;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7733479;;P. Weichbroth ─ K. Redlarski ─ I. Garnik;2016;2016 Federated Conference on Computer Science and Information Systems (FedCSIS);IEEE Conferences;Eye-tracking web usability research;In this paper we present the results of a study that aims to evaluate the usability of three selected web services, based on eye-tracking and thinking aloud techniques. The gathered comments and observations, recapitulated and supported by particular measures, allow us to discover and describe typical user behavior pertaining to given tasks to solve.;;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6614280;10.1109/ITNG.2013.8;C. -R. Dow ─ C. -Y. Chueh ─ Y. -H. Lee ─ S. -F. Hwang;2013;2013 10th International Conference on Information Technology: New Generations;IEEE Conferences;A Tree-Based Web Service Indication Scheme for Service Tracking in Vehicular Ad-Hoc Networks;Due to the progress of modern automobiles, using vehicles as sensors to gather information is no longer an unreachable idea. Although the cost of providing services on a specific node is extremely high in Mobile Ad Hoc Network (MANets), to locate a particular node and provide services in Vehicular Ad-hoc Network (VANets) is much easier than in MANets because vehicles are always limited on roads. Particularly, public transportation systems are very suitable for providing Web services. In our approach, we purpose a geo-aware tree-based service tracking scheme to locate the specific service in the particular area. The virtual backbone is predefined according to the main roads in the city. It consists of geo-grids and is further organized to a tree structure. The tree structure, which is the higher layer of the virtual backbone, can be used to facilitate service location tracking since any grid inside the tree has only one route to the root. Based on footprints left by services on the branches of tree, we can easily find the specific service and access data of interests on VANets. The footprints will be updated when the service move from one grid to another or be cleared when the service jump into another branch of the tree structure.;Vehicular Ad-hoc Networks ─Service Tracking ─Footprint;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5592921;10.1109/ICEE.2010.1369;Y. Ming ─ W. Xuefeng ─ Z. Mo ─ S. Ming;2010;2010 International Conference on E-Business and E-Government;IEEE Conferences;On the Web-Based Tracking Survey of Educational Quality of Applied and Practical Majors;Different from theoretical ones, applied and practical majors (APM) demand more frequent update of knowledge. Universities need to be timely acquainted with enterprises’ latest demands and feedback, as well as their graduates’, to adjust their curriculums and knowledge given in class to cultivate competent students. Through analysis of the characteristics of APM, the fundament and feasibility of web-based tracking survey (TS) of educational quality is expatiated. In virtue of material analysis and comparison, active browsing, supplemented by e-mail and web meeting, can be employed as the most suitable method to carry out the foresaid survey, the promotion of which will benefit universities, graduates, enterprises and even the whole country’s sustainable development.;web ─applied and practical majors (APM) ─educational quality ─tracking survey (TS);;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7530269;10.1109/ICCPCT.2016.7530269;A. Ahkila ─ A. Kiranmai ─ A. M. Posonia;2016;2016 International Conference on Circuit, Power and Computing Technologies (ICCPCT);IEEE Conferences;Aggregate tracker of invisible web with checkbox interfaces;Today most of the search engines do not find massive online data (invisible web) that are hidden behind. Web users depending upon search engine, could not access significant amount of data on the web. This is because search engines respond by returning few results based on ranking function. In this paper we develop an efficient crawling algorithm to obtain the hidden data with checkbox interface which will enable us to perform a broad search under a specific topic. Using aggregate tracking method we can extract all the tuples from the invisible web.;Invisible web ─Aggregate tracking ─crawling ─Checkbox ─Hidden database;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5341515;10.1109/LA-WEB.2009.25;M. Valencia ─ E. Menasalvas ─ S. Eibe;2009;2009 Latin American Web Congress;IEEE Conferences;Approach for Discovering and Tracking Local Web Search Trends;Detecting and understanding Web search intention have considerably gained in interest during the last years. This is challenging in mobile environments due to the impact of ubiquity on the mining process: changing user's context influences the information needs, resource constraints affect the process execution. Moreover, in mobile devices it is possible to find situations where the analysis of user's local behavior is required. Then, it is necessary to calculate locally the model using only local data. The need of autonomy required in a situation in which the data miner is not present makes the problem even more challenging. In this paper we address the problem of query categorization in mobile devices. Hence, we present an approach for categorizing local user queries and analyze the main challenges associated to the problem of performing the data mining process on a mobile device. Validation of the approach is shown by applying incremental clustering over a real data set.;query categorization ─ubiquitous data mining ─web search intention ─local user behavior;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10502536;10.1109/IATMSI60426.2024.10502536;N. Anusha ─ A. Vivek ─ A. Gullapally ─ P. R. Teja ─ R. S. R. S. Rahul;2024;2024 IEEE International Conference on Interdisciplinary Approaches in Technology and Management for Social Innovation (IATMSI);IEEE Conferences;Crypto Tracking Web Application;"This research focuses on the development of an advanced cryptocurrency monitoring platform with a primary emphasis on its distinctive ""watchlist"" feature. This feature empowers users to add their preferred digital currencies, enabling a smooth and user-friendly experience for tracking their selected coins, accessing current market values, and conducting in-depth analyses of their historical performance. The platform is constructed using the MERN tech stack, which combines MongoDB for flexible data storage, Express.js for efficient handling of HTTP requests, React.js for dynamic user interfaces, and Node.js for high- performance server- side execution. To ensure the provision of real-time and comprehensive data and to enhance the overall functionality of the platform, it heavily relies on two key APIs: CryptoCompare and CoinGecko. These APIs play a crucial role in delivering accurate information to users, and their integration has been instrumental in achieving the platform's objectives.";cryptocurrency monitoring ─watchlist feature ─mern tech stack ─real-time data ─API integration;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1385565;10.1109/HICSS.2005.200;W. Haseman ─ M. N. Haines;2005;Proceedings of the 38th Annual Hawaii International Conference on System Sciences;IEEE Conferences;Development and Application of Web Services Mini-Track;;;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10372624;10.1109/TELFOR59449.2023.10372624;D. Pozderac ─ A. Ćato ─ S. Muratović ─ I. Prazina ─ L. Kafedžić ─ V. Okanović;2023;2023 31st Telecommunications Forum (TELFOR);IEEE Conferences;Developing a mobile/web planner application with a focus on tracking and predicting specific activities for persons with Down syndrome;In this paper, we introduce and provide insight into the two innovative applications designed to enhance the lives of persons with Down syndrome, focusing on seamless integration between the two. The first is a mobile application that helps users manage their daily routines by monitoring and predicting activity durations, considering their unique challenges. The second is a web application for parents/teachers/other adults to streamline activity scheduling, progress tracking, and reminders.;activity planner ─mobile application ─web application ─Down syndrome;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1319759;10.1109/ICECT.2004.1319759;T. Kwok ─ Thao Nguyen;2004;Proceedings. IEEE International Conference on e-Commerce Technology, 2004. CEC 2004.;IEEE Conferences;A novel Web sales tracking solution for multi-channel marketing programs on electronic commerce;Internet based marketing programs have become critically important to many businesses, and at the same time more technologically advanced. If a business practices multiple types of Web marketing campaigns, sells multiple brands, and manages multiple online stores, it has to use market tracking solutions to monitor sales and leads from different marketing programs, and track and evaluate the performance of each program. A solution for tracking Web sales for multi-channel marketing programs is described. It consists of two technological components. A transient landing page provides a unique way to centralize, control and distribute Web traffic from different programs, and in doing so saves a Web merchant time, cost and effort in administrating its online stores. A multi-channel identifier allows the merchant to track sales and leads, and to evaluate the results and effectiveness of each program.;;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9603887;10.1109/ICNISC54316.2021.00102;A. Ez-Zahout ─ S. Chakouk ─ S. Mitouilli ─ M. A. El Bouni;2021;2021 7th Annual International Conference on Network and Information Systems for Computers (ICNISC);IEEE Conferences;A Numerical Real Time Web Tracking and Scrapping Strategy Applied to Analysing COVID-19 Datasets;With the huge amount of data collected from the web, it is hard to manually analyze and extract useful incites from tables, matrices, or rows of data. Therefore, we need a way to represent these data (maps or graphs) to analyze/interpret them. Data visualization makes it easier to identify trends, patterns, and outliers with large datasets. Data Analytics is used to analyze raw data to make conclusions about the information. In this paper, we tackled web scrapping strategies to get COVID-19 data from the web, and then we went through some data analysis and exploration using EDA.;object tracking ─data visualization ─patterns ─web scraping ─EDA;;;;;
IEEE Xplore;https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927090;10.1109/WETICE.2014.54;O. Nabuco ─ R. Bonacin ─ M. Fugini ─ M. R. D. Silveira;2014;2014 IEEE 23rd International WETICE Conference;IEEE Conferences;Track Report of Modeling the Collaborative Web Knowledge (Web2Touch 2014);The 2014 edition of the Web2Touch (W2T) Track aims at presenting alternatives to address interoperability and distributed knowledge management problem for Web systems. In particular, it provides a view on the field of secure and knowledge-intensive Web collaboration using semantic techniques to share experiences, challenges and opportunities, and to cope with frequent evolution of knowledge during cooperative processes based on the Web collaborative platform. Consequently, this year, W2T brings together applications, engineering issues, conceptual models and methods to provide a multidisciplinary view over knowledge organization systems based on the Web.;web collaboration systems ─semantics ─ontology;;;;;
